datetime;nodes;channels;capacity
2024-06-10 00:00:00;13107;51422;505505355331
2024-06-09 00:00:00;13066;51367;504206914772
2024-06-08 00:00:00;7316;41127;483862786641
2024-06-07 00:00:00;13031;51399;503956442166
2024-06-06 00:00:00;13000;51329;503399981085
2024-06-05 00:00:00;12979;51255;502271203609
2024-06-04 00:00:00;12947;51165;500451075077
2024-06-03 00:00:00;12933;51129;499894054555
2024-06-02 00:00:00;12914;51110;495484782683
2024-06-01 00:00:00;12015;48924;487732442031
2024-05-31 00:00:00;12767;50775;493460065745
2024-05-30 00:00:00;12783;50806;491742397821
2024-05-29 00:00:00;12777;50810;492097793990
2024-05-28 00:00:00;12851;50963;492695166226
2024-05-27 00:00:00;12842;50939;500223568501
2024-05-26 00:00:00;12840;50893;498310086604
2024-05-25 00:00:00;12898;51015;497676508178
2024-05-24 00:00:00;12882;50935;496453470378
2024-05-23 00:00:00;12886;50908;495263695957
2024-05-22 00:00:00;12885;50889;493110609186
2024-05-21 00:00:00;12976;51046;491855680810
2024-05-20 00:00:00;12987;51028;491616005177
2024-05-19 00:00:00;12955;50934;491884695771
2024-05-18 00:00:00;7420;40820;470881269749
2024-05-17 00:00:00;12935;50838;491761945559
2024-05-16 00:00:00;12938;50867;491386584493
2024-05-15 00:00:00;12943;50907;493228069128
2024-05-14 00:00:00;13004;51033;490898488139
2024-05-13 00:00:00;13004;51050;492761608216
2024-05-12 00:00:00;12943;50888;490897843870
2024-05-11 00:00:00;13023;51138;490073089258
2024-05-10 00:00:00;13046;51184;489970761617
2024-05-09 00:00:00;13020;51199;489953411302
2024-05-08 00:00:00;13000;51187;489715141954
2024-05-07 00:00:00;13066;51360;488580577223
2024-05-06 00:00:00;13021;51262;487175384178
2024-05-05 00:00:00;13019;51229;486524121212
2024-05-04 00:00:00;13100;51406;485265392520
2024-05-03 00:00:00;13098;51382;484987227841
2024-05-02 00:00:00;13083;51326;482997628256
2024-05-01 00:00:00;13061;51266;482070010027
2024-04-30 00:00:00;13140;51363;480381734726
2024-04-29 00:00:00;13123;51347;480312333891
2024-04-28 00:00:00;13122;51427;476301863070
2024-04-27 00:00:00;7384;40541;451414519340
2024-04-26 00:00:00;12923;51056;475634941977
2024-04-25 00:00:00;12875;51080;471702801105
2024-04-24 00:00:00;12845;51136;469957645223
2024-04-23 00:00:00;12878;51382;472445118614
2024-04-22 00:00:00;12872;51314;470719231277
2024-04-21 00:00:00;12863;51298;469777450940
2024-04-20 00:00:00;12024;49126;463883245181
2024-04-19 00:00:00;12843;51350;469671454903
2024-04-18 00:00:00;12818;51251;467974856014
2024-04-17 00:00:00;12810;51278;467714298777
2024-04-16 00:00:00;12911;51339;466493708713
2024-04-15 00:00:00;12916;51269;463872701730
2024-04-14 00:00:00;12904;51183;462852235936
2024-04-13 00:00:00;8844;42952;441320539264
2024-04-12 00:00:00;12970;51492;463475789378
2024-04-11 00:00:00;12952;51466;462585486141
2024-04-10 00:00:00;12936;51417;462179764720
2024-04-09 00:00:00;13036;51715;462126016763
2024-04-08 00:00:00;13012;51650;461304307758
2024-04-07 00:00:00;13001;51587;461305610374
2024-04-06 00:00:00;13048;51738;460223190752
2024-04-05 00:00:00;12989;51583;458654674212
2024-04-04 00:00:00;12986;51669;465013572053
2024-04-03 00:00:00;12957;51747;465412497897
2024-04-02 00:00:00;12974;51781;464514501839
2024-04-01 00:00:00;12979;51931;464907085459
2024-03-31 00:00:00;13001;51978;465005418371
2024-03-30 00:00:00;7649;41655;440229114400
2024-03-29 00:00:00;13091;52431;462571412244
2024-03-28 00:00:00;13088;52449;461439805030
2024-03-27 00:00:00;13067;52406;461315231854
2024-03-26 00:00:00;13133;52632;460937268854
2024-03-25 00:00:00;13121;52656;457425794593
2024-03-24 00:00:00;13157;52733;456988925923
2024-03-23 00:00:00;11837;49287;447831691148
2024-03-22 00:00:00;13131;52870;461078156526
2024-03-21 00:00:00;13117;52947;461978863789
2024-03-20 00:00:00;13081;52845;462789330912
2024-03-19 00:00:00;13115;52899;461890115226
2024-03-18 00:00:00;13122;53115;469571260076
2024-03-17 00:00:00;13107;53019;466245283430
2024-03-16 00:00:00;13234;53389;465504491716
2024-03-15 00:00:00;13232;53387;463209540175
2024-03-14 00:00:00;13214;53295;459234044127
2024-03-13 00:00:00;13188;53410;460004823055
2024-03-12 00:00:00;13279;53893;460820679382
2024-03-11 00:00:00;13240;53814;458454523621
2024-03-10 00:00:00;13238;53842;457777547605
2024-03-09 00:00:00;13374;54132;457548792106
2024-03-08 00:00:00;13377;54201;458069311109
2024-03-07 00:00:00;13355;54183;456238586577
2024-03-06 00:00:00;13324;54244;460565482226
2024-03-05 00:00:00;13399;54587;462551400071
2024-03-04 00:00:00;13363;54600;462151872120
2024-03-03 00:00:00;13352;54522;461017515817
2024-03-02 00:00:00;7876;43971;437741873563
2024-03-01 00:00:00;13396;54734;461299374773
2024-02-29 00:00:00;13385;54676;458269526821
2024-02-28 00:00:00;13331;54677;462933225481
2024-02-27 00:00:00;13391;54765;466918807200
2024-02-26 00:00:00;13370;54718;465672369729
2024-02-25 00:00:00;13367;54656;461784221988
2024-02-24 00:00:00;13404;54888;464358071817
2024-02-23 00:00:00;13384;54808;465468556747
2024-02-22 00:00:00;13351;54766;474840726080
2024-02-21 00:00:00;13289;54621;473217015830
2024-02-20 00:00:00;13402;54940;470679113777
2024-02-19 00:00:00;13399;55012;470565342167
2024-02-18 00:00:00;13416;55117;470810800801
2024-02-17 00:00:00;8126;44962;448635349186
2024-02-16 00:00:00;13403;55450;484748191426
2024-02-15 00:00:00;13403;55598;484645126243
2024-02-14 00:00:00;13367;55646;484349376759
2024-02-13 00:00:00;13437;55862;483184256020
2024-02-12 00:00:00;13420;55723;480902822916
2024-02-11 00:00:00;13484;56046;481856470360
2024-02-10 00:00:00;7925;45177;455910176194
2024-02-09 00:00:00;13699;56928;482478473309
2024-02-08 00:00:00;13710;56970;481187676537
2024-02-07 00:00:00;13696;57064;480120508321
2024-02-06 00:00:00;13851;57692;498870932547
2024-02-05 00:00:00;13849;57773;498922165056
2024-02-04 00:00:00;13837;57792;498753657633
2024-02-03 00:00:00;11890;52805;482202043123
2024-02-02 00:00:00;13828;58028;499270996172
2024-02-01 00:00:00;13831;58096;499926238682
2024-01-31 00:00:00;13818;58147;498880571479
2024-01-30 00:00:00;13728;57997;497791268911
2024-01-29 00:00:00;13726;57907;494278984434
2024-01-28 00:00:00;13716;57876;493201842848
2024-01-27 00:00:00;13765;57965;491276687778
2024-01-26 00:00:00;13748;57889;490809190998
2024-01-25 00:00:00;13748;58054;490148396451
2024-01-24 00:00:00;13678;57882;488844278834
2024-01-23 00:00:00;13768;58177;489952313229
2024-01-22 00:00:00;13756;58191;495343115703
2024-01-21 00:00:00;13734;58125;493539609890
2024-01-20 00:00:00;9718;49293;471046197622
2024-01-19 00:00:00;13768;58230;492624608292
2024-01-18 00:00:00;13767;58224;490016708473
2024-01-17 00:00:00;13745;58251;490641939824
2024-01-16 00:00:00;13789;58379;490078030353
2024-01-15 00:00:00;13763;58316;487091086371
2024-01-14 00:00:00;13755;58288;485094020805
2024-01-13 00:00:00;11241;52221;469044689442
2024-01-12 00:00:00;13707;58231;484587088035
2024-01-11 00:00:00;13690;58251;485040909143
2024-01-10 00:00:00;13648;58444;507839253881
2024-01-09 00:00:00;13742;58729;507259535412
2024-01-08 00:00:00;13725;58693;505326915136
2024-01-07 00:00:00;13712;58637;503036965991
2024-01-06 00:00:00;12367;54703;487671141474
2024-01-05 00:00:00;13832;59041;502683561633
2024-01-04 00:00:00;13803;58989;501983108819
2024-01-03 00:00:00;13791;59029;500447263592
2024-01-02 00:00:00;13759;59036;499457040916
2024-01-01 00:00:00;13749;59138;502396062557
2023-12-31 00:00:00;13749;59306;503801839137
2023-12-30 00:00:00;13731;59300;503485076132
2023-12-29 00:00:00;13701;59289;504548955086
2023-12-28 00:00:00;13707;59372;506150420105
2023-12-27 00:00:00;13694;59403;504487742002
2023-12-26 00:00:00;13685;59320;501437904385
2023-12-25 00:00:00;13671;59324;501628234457
2023-12-24 00:00:00;13681;59374;500707771070
2023-12-23 00:00:00;13677;59366;501166929685
2023-12-22 00:00:00;13666;59419;506299517773
2023-12-21 00:00:00;13714;59538;506286912824
2023-12-20 00:00:00;13707;59501;505589608045
2023-12-19 00:00:00;13694;59492;505925695451
2023-12-18 00:00:00;13671;59466;506494570405
2023-12-17 00:00:00;13704;59562;507232666644
2023-12-16 00:00:00;13689;59557;507341692140
2023-12-15 00:00:00;13680;59565;506700042881
2023-12-14 00:00:00;13719;59728;507400794687
2023-12-13 00:00:00;13705;59695;507122082232
2023-12-12 00:00:00;13694;59659;506441281762
2023-12-11 00:00:00;13676;59649;506359326445
2023-12-10 00:00:00;13710;59879;510520711864
2023-12-09 00:00:00;13691;59843;510341674731
2023-12-08 00:00:00;13662;59840;509965771885
2023-12-07 00:00:00;13704;60028;509088183023
2023-12-06 00:00:00;13682;59998;509385073295
2023-12-05 00:00:00;13671;60005;508607223243
2023-12-04 00:00:00;13633;60020;509415833980
2023-12-03 00:00:00;13685;60237;514230853526
2023-12-02 00:00:00;13653;60160;514051424482
2023-12-01 00:00:00;13636;60098;511364240104
2023-11-30 00:00:00;13806;60472;510378318599
2023-11-29 00:00:00;13786;60568;539509555041
2023-11-28 00:00:00;13768;60577;538060152943
2023-11-27 00:00:00;13774;60737;541604987151
2023-11-26 00:00:00;13804;60971;541791159155
2023-11-25 00:00:00;13790;60992;542629913546
2023-11-24 00:00:00;13777;60952;541874706836
2023-11-23 00:00:00;13914;61518;542747200870
2023-11-22 00:00:00;13896;61494;542926267572
